country,iso_alpha3,region,sub_region,exag_env,climate_crisis,protect_env,sex,age,educyrs,degree,soc_rank,gov_peo,gov_bus,how_bus,how_peo,mem_env,care_env
Argentina,ARG,Americas,Latin America and the Caribbean,4,32,9,0,20,15,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,29,12,1,47,7,Uni,middle,0,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,28,7,0,50,7,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,33,8,0,34,10,Uni,middle,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,7,24,10,0,33,12,Uni,middle,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,9,28,10,0,24,12,Uni,middle,0,1,0,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,35,5,0,29,15,Uni,middle,0,0,1,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,28,10,0,29,12,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,31,9,1,42,10,Uni,middle,1,1,1,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,30,9,0,64,7,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,27,3,0,30,12,Uni,middle,1,1,1,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,7,34,10,1,44,15,Uni,middle,1,1,1,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,7,34,12,1,38,15,Uni,middle,1,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,10,33,8,1,51,15,Uni,middle,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,10,31,7,1,48,12,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,9,31,9,1,25,12,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,30,7,0,39,10,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,9,18,7,0,61,9,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,27,6,1,45,7,Uni,high,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,26,8,1,61,15,Uni,middle,1,1,1,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,10,27,8,0,31,15,Uni,middle,1,1,0,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,22,12,0,30,17,Uni,middle,1,1,0,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,35,9,0,38,96,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,29,7,0,20,9,Uni,middle,1,1,1,1,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,29,8,1,24,5,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,28,9,0,56,7,Uni,low,1,1,2,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,28,10,0,29,7,Uni,middle,1,1,0,1,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,8,23,12,0,38,5,Uni,low,1,1,1,1,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,8,34,12,1,41,7,Uni,middle,1,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,26,10,0,33,17,Uni,middle,1,1,1,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,11,31,9,0,47,8,Uni,middle,1,1,0,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,11,20,10,0,45,12,Uni,middle,1,1,1,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,27,12,0,30,18,noUni,high,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,32,12,1,38,10,Uni,low,1,1,0,1,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,34,7,0,38,7,Uni,middle,1,1,1,1,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,7,28,6,0,33,7,Uni,middle,1,1,0,0,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,9,21,6,0,74,12,Uni,middle,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,10,32,8,0,57,4,Uni,middle,1,1,2,2,1,1
Argentina,ARG,Americas,Latin America and the Caribbean,8,35,10,0,56,10,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,9,28,8,1,50,18,noUni,high,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,9,26,5,0,23,11,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,12,27,10,0,49,7,Uni,middle,0,1,1,1,1,0
Argentina,ARG,Americas,Latin America and the Caribbean,8,25,8,0,32,7,Uni,middle,1,1,2,2,0,1
Argentina,ARG,Americas,Latin America and the Caribbean,6,34,9,1,49,12,Uni,middle,1,1,0,0,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,12,30,11,1,82,4,Uni,middle,0,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,12,27,6,0,28,10,Uni,low,1,1,0,2,0,0
Argentina,ARG,Americas,Latin America and the Caribbean,6,35,11,0,64,8,Uni,middle,1,1,2,2,0,0
